Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
everybody wants some!!,2016.0,,,,,
everybody wants to be italian,2008.0,"romantic comedy, romance film, comedy, slice of life story, indie",3000000.0,,,
everybody's all-american,1988.0,"sports, romantic drama, romance film, drama",,,,
everybody's doing it,1916.0,"short film, silent film, comedy, black-and-white",,,,
everybody's fine,2009.0,"drama, comedy, adventure",20000000.0,,,
everybody's gone,1995.0,"short film, drama",,,,
everybody's woman,1934.0,"drama, black-and-white",,,,
everybody's woman,1924.0,"silent film, drama",,,,
everyday is a holiday,2009.0,"road movie, drama, comedy, world cinema",,,,
everyday life in a syrian village,1974.0,black-and-white,,,,
everyday people,2004.0,"drama, indie",,,,
everyman,1961.0,drama,,,,
everyman's feast,2002.0,drama,,,,
everyman's war,2009.0,"biographical film, drama, war film",,,,
everynight ... everynight,1994.0,"crime fiction, drama, black-and-white",,,,
everyone,2004.0,comedy film,,,,
everyone but japan sinks,2006.0,"black comedy, japanese movies, world cinema, natural disaster, comedy",,,,
everyone dies alone,1976.0,drama,,,,
everyone else,2009.0,"world cinema, comedy-drama, drama, romantic drama, romance film, domestic comedy",,,,
everyone says i love you,1996.0,"romantic comedy, ensemble film, indie, musical comedy, musical, comedy, romance film",20000000.0,,,
everyone stares: the police inside out,2006.0,rockumentary,,,,
everyone's child,1995.0,"drama, coming of age",,,,
everyone's hero,2006.0,"adventure, ""childrens/family"", computer animation, animation, sports, family film, family-oriented adventure",,,,
everyone's in love,1959.0,comedy film,,,,
everything,2004.0,"mystery, drama",,,,
everything,2005.0,,,,,
everything everywhere all at once,2022.0,,,,,
everything for sale,1969.0,"drama, world cinema",,,,
everything goes,2004.0,"short film, drama",,,,
everything goes wrong,1960.0,"japanese movies, drama, black-and-white",,,,
everything happens to me,1980.0,comedy,,,,
everything happens to me,1938.0,comedy film,,,,
everything i have is yours,1952.0,musical,,,,
everything is fine,1937.0,"comedy film, comedy, world cinema",,,,
everything is illuminated,2005.0,"adventure, road movie, family drama, comedy-drama, drama, comedy, film adaptation",,,,
everything is rhythm,1936.0,musical,,,,
everything is thunder,1936.0,"thriller, drama, war film",,,,
everything moves alone,2001.0,"comedy, indie",,,,
