Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
barbershop,2002.0,"ensemble film, comedy, workplace comedy",12000000.0,75782105.0,1281819.0,77063924.0
barbershop 2: back in business,2004.0,"ensemble film, comedy, workplace comedy",18000000.0,65111277.0,880171.0,65991448.0
basic,2003.0,"thriller, crime fiction, detective fiction, detective, psychological thriller, action/adventure, drama, crime thriller, action",50000000.0,26793311.0,15999250.0,42792561.0
basic instinct 2,2006.0,"crime fiction, thriller, erotic thriller, psychological thriller, mystery, crime thriller",70000000.0,5971336.0,32658142.0,38629478.0
batman begins,2005.0,"crime fiction, thriller, superhero movie, crime drama, superhero, action/adventure, drama, reboot, action thrillers, action",150000000.0,205343774.0,168100000.0,373443774.0
battleship,2012.0,"science fiction, action",220000000.0,65422625.0,248244317.0,313666942.0
be cool,2005.0,"crime fiction, crime comedy, comedy",75000000.0,56046979.0,39716737.0,95763716.0
be kind rewind,2008.0,"comedy of errors, drama, comedy",20000000.0,11175164.0,19719083.0,30894247.0
beastly,2011.0,"science fiction, fantasy, fantasy drama, drama, romantic drama, romance film, romantic fantasy, teen",17000000.0,27865571.0,15336712.0,43202283.0
beasts of the southern wild,2012.0,"fantasy, drama",1800000.0,12795746.0,10469386.0,23265132.0
beautiful boy,2010.0,"drama, indie",25000000.0,7649973.0,24061346.0,31711319.0
beautiful creatures,2001.0,"crime fiction, thriller, drama, comedy, black comedy, crime thriller, suspense",50000000.0,19452138.0,40830738.0,60282876.0
beauty and the beast,1983.0,drama,160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1983.0,drama,160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1994.0,"japanese movies, family film, fantasy, adventure, animation",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1994.0,"japanese movies, family film, fantasy, adventure, animation",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,2005.0,"science fiction, horror, adventure, romantic fantasy, action/adventure, fantasy, romance film, action, family film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,2005.0,"science fiction, horror, adventure, romantic fantasy, action/adventure, fantasy, romance film, action, family film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1991.0,"costume drama, animation, musical, ""childrens"", fantasy, music, romance film, family film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1991.0,"costume drama, animation, musical, ""childrens"", fantasy, music, romance film, family film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1946.0,"art film, world cinema, black-and-white, fantasy, drama, romantic drama, romance film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty and the beast,1946.0,"art film, world cinema, black-and-white, fantasy, drama, romantic drama, romance film",160000000.0,504014165.0,759506961.0,1263521126.0
beauty shop,2005.0,comedy,25000000.0,36351350.0,2000000.0,38351350.0
because i said so,2007.0,"romantic comedy, romance film, drama, domestic comedy, comedy",39000000.0,42674040.0,26864793.0,69538833.0
becoming jane,2007.0,"biography, costume drama, period piece, drama, biopic [feature], romantic drama, romance film, biographical film",16500000.0,18670946.0,20716965.0,39387911.0
bedazzled,1967.0,"romantic comedy, black comedy, romance film, fantasy, comedy",48000000.0,37886980.0,52496228.0,90383208.0
bedazzled,2000.0,"romantic comedy, black comedy, romance film, fantasy, comedy",48000000.0,37886980.0,52496228.0,90383208.0
bedtime stories,2008.0,"fantasy adventure, fantasy, comedy, family film, fantasy comedy, ""childrens fantasy""",80000000.0,110101975.0,111366960.0,221468935.0
bee movie,2007.0,"adventure, ""childrens/family"", computer animation, animation, comedy, family film",150000000.0,126631277.0,166883059.0,293514336.0
beerfest,2006.0,"comedy, absurdism",17500000.0,19185184.0,1202413.0,20387597.0
before sunset,2004.0,"romantic drama, romance film, drama, comedy, indie",2000000.0,5820649.0,10029110.0,15849759.0
being julia,2004.0,"lgbt, romantic comedy, comedy-drama, period piece, drama, comedy, film adaptation, romantic drama, romance film",18000000.0,7739049.0,6749656.0,14488705.0
bend it like beckham,2002.0,"indie, comedy-drama, sports, drama, comedy, coming of age, romance film, domestic comedy, teen",5600000.0,32543449.0,44039884.0,76583333.0
beowulf,2007.0,"computer animation, action, fantasy, adventure, animation",150000000.0,82280579.0,114113166.0,196393745.0
beowulf,1999.0,"science fiction, horror, adventure, costume drama, action/adventure, drama, film adaptation, action",150000000.0,82280579.0,114113166.0,196393745.0
